Date,Open,High,Low,Close
2025-04-11,40.8,46.12,36.85,37.56
2025-04-14,34.76,35.17,29.75,30.89
2025-04-15,30.01,31.45,28.29,30.12
2025-04-16,33.24,34.96,29.48,32.64
2025-04-17,30.79,32.55,29.57,29.65
2025-04-21,32.75,35.75,31.79,33.82
2025-04-22,32.61,32.68,30.08,30.57
2025-04-23,28.75,30.29,27.11,28.45
2025-04-24,28.69,29.66,26.36,26.47
2025-04-25,26.22,27.2,24.84,24.84
2025-04-28,25.75,26.93,24.7,25.15
2025-04-29,24.76,25.99,23.76,24.17
2025-04-30,24.35,28.17,24.23,24.7
2025-05-01,23.94,25.18,23.3,24.6
2025-05-02,23.63,24.32,22.34,22.68
2025-05-05,24.25,24.63,22.81,23.64
2025-05-06,23.97,25.11,23.9,24.76
2025-05-07,24.56,25.62,23.29,23.55
2025-05-08,22.84,23.61,21.88,22.48
2025-05-09,22.4,22.82,21.83,21.9
2025-05-12,19.84,20.44,18.14,18.39
2025-05-13,18.69,18.85,17.65,18.22
2025-05-14,18.1,18.82,18.06,18.62
2025-05-15,19.19,19.38,17.77,17.83
2025-05-16,17.96,17.96,17.15,17.24
2025-05-19,19.84,19.92,17.92,18.14
2025-05-20,18.46,18.68,17.7,18.09
2025-05-21,18.77,21.05,17.77,20.87
2025-05-22,20.62,22.07,19.64,20.28
2025-05-23,20.14,25.53,19.83,22.29
2025-05-27,20.63,21.01,18.95,18.96
2025-05-28,19.21,19.43,18.68,19.31
2025-05-29,18.25,20.2,18.11,19.18
2025-05-30,19.61,20.55,18.57,18.57
2025-06-02,19.81,20.45,18.36,18.36
2025-06-03,18.83,19.21,17.64,17.69
2025-06-04,17.68,18.07,17.41,17.61
2025-06-05,17.68,18.8,17.08,18.48
2025-06-06,18.16,18.35,16.65,16.77
2025-06-09,17.69,17.72,16.82,17.16
2025-06-10,17.5,17.99,16.68,16.95
2025-06-11,17.04,18.09,16.23,17.26
2025-06-12,17.87,18.87,17.43,18.02
2025-06-13,21.76,22.0,18.88,20.82
2025-06-16,19.78,20.22,18.67,19.11
2025-06-17,20.53,21.79,19.55,21.6
2025-06-18,20.9,21.58,19.59,20.14
2025-06-20,20.74,21.07,19.11,20.62
2025-06-23,21.15,22.51,19.82,19.83
2025-06-24,18.19,18.72,17.33,17.48
2025-06-25,17.28,17.51,16.68,16.76
2025-06-26,16.67,16.78,16.11,16.59
2025-06-27,16.31,17.29,16.12,16.32
2025-06-30,17.19,17.43,16.55,16.73
