Date,Open,High,Low,Close,Adj Close,Volume
2025-06-23,53.31,55.57,52.61,52.79,52.79,6670000.0
2025-06-24,50.03,50.09,49.09,49.15,49.15,4735800.0
2025-06-25,48.6,49.36,48.48,48.52,48.52,3228900.0
2025-06-26,48.5,48.5,47.98,48.41,48.41,2976700.0
2025-06-27,47.88,49.29,47.84,48.27,48.27,3870800.0
2025-06-30,47.74,48.45,47.61,48.05,48.05,3297100.0
2025-07-01,48.34,48.4,47.53,48.04,48.04,3418200.0
2025-07-02,48.07,48.26,47.44,47.91,47.91,3403700.0
2025-07-03,47.06,47.63,46.81,47.57,47.57,2672600.0
2025-07-07,48.08,48.97,47.82,48.14,48.14,4525200.0
2025-07-08,47.13,47.31,46.55,46.85,46.85,3864300.0
2025-07-09,45.74,46.19,45.23,45.26,45.26,4529700.0
2025-07-10,45.09,45.39,44.77,44.95,44.95,3183900.0
2025-07-11,45.89,46.02,44.69,45.2,45.2,3455300.0
2025-07-14,45.67,45.95,45.36,45.87,45.87,3997400.0
2025-07-15,44.91,45.67,44.83,45.61,45.61,4746600.0
2025-07-16,45.48,48.1,45.22,45.91,45.91,8578700.0
2025-07-17,45.65,45.96,45.43,45.85,45.85,2799900.0
2025-07-18,45.24,45.64,45.01,45.01,45.01,4893800.0
2025-07-21,44.64,44.86,43.89,44.86,44.86,5082500.0
2025-07-22,44.59,45.77,44.41,44.65,44.65,3731300.0
2025-07-23,43.98,44.35,42.7,42.81,42.81,6670800.0
2025-07-24,42.51,42.81,42.16,42.68,42.68,3718400.0
2025-07-25,42.81,42.85,42.22,42.33,42.33,3470400.0
2025-07-28,41.45,41.74,41.14,41.15,41.15,4809800.0
2025-07-29,40.69,42.35,40.46,42.1,42.1,5370100.0
2025-07-30,41.94,43.0,41.55,42.39,42.39,5531200.0
2025-07-31,41.39,42.78,41.11,42.46,42.46,7016500.0
2025-08-01,44.53,46.97,44.49,45.91,45.91,17797200.0
2025-08-04,44.63,44.74,42.85,42.92,42.92,6242200.0
2025-08-05,42.64,44.53,42.64,43.25,43.25,5201200.0
2025-08-06,43.15,43.47,41.88,41.93,41.93,4312800.0
2025-08-07,41.36,42.9,41.2,42.21,42.21,4716600.0
2025-08-08,41.56,41.68,40.75,40.81,40.81,5894600.0
2025-08-11,40.67,41.23,40.36,41.0,41.0,4450100.0
2025-08-12,40.22,40.3,39.2,39.3,39.3,9653700.0
2025-08-13,38.73,39.31,38.65,39.02,39.02,4947900.0
2025-08-14,39.79,39.85,38.94,39.18,39.18,5257800.0
2025-08-15,38.91,39.36,38.78,39.04,39.04,6855000.0
2025-08-18,38.97,38.99,37.89,38.1,38.1,5746300.0
2025-08-19,37.67,39.03,37.64,38.82,38.82,7862300.0
2025-08-20,38.89,40.08,38.49,38.67,38.67,8378900.0
2025-08-21,39.14,39.81,38.83,39.27,39.27,5172200.0
2025-08-22,39.03,39.09,35.97,35.98,35.98,17176300.0
2025-08-25,36.38,36.62,35.85,36.14,36.14,4390700.0
2025-08-26,36.37,36.43,35.82,35.86,35.86,3032300.0
2025-08-27,36.0,36.49,35.6,36.01,36.01,5319800.0
2025-08-28,35.52,36.04,35.37,35.45,35.45,3863500.0
2025-08-29,35.46,36.6,35.28,36.27,36.27,6043800.0
2025-09-02,38.21,38.94,37.35,37.39,37.39,10111400.0
2025-09-03,37.17,37.26,36.44,36.46,36.46,6683300.0
2025-09-04,36.24,36.33,35.33,35.38,35.38,8664300.0
2025-09-05,34.56,36.49,34.5,35.47,35.47,13420100.0
2025-09-08,35.1,35.2,34.72,34.81,34.81,4253600.0
2025-09-09,34.96,35.42,34.6,34.64,34.64,5134600.0
2025-09-10,34.22,34.76,34.08,34.44,34.44,5955400.0
2025-09-11,33.9,34.11,33.64,33.68,33.68,6014700.0
2025-09-12,33.66,33.76,33.25,33.68,33.68,4624400.0
2025-09-15,33.28,34.03,33.25,33.91,33.91,6386000.0
2025-09-16,34.02,34.6,33.97,34.53,34.53,6227200.0
2025-09-17,34.25,34.28,32.79,33.32,33.32,10687600.0
2025-09-18,32.68,33.31,32.63,33.17,33.17,5043300.0
2025-09-19,32.88,33.69,32.88,33.18,33.18,4540500.0
2025-09-22,33.5,33.81,33.21,33.8,33.8,4452400.0
2025-09-23,33.68,34.76,33.68,34.2,34.2,7647700.0
2025-09-24,33.99,34.83,33.78,33.86,33.86,5547100.0
